uf,ano,deforestation_soma,mining_soma,focos_ativos,t_infecciosas,t_neoplasias,t_sangue,t_endocrinas,t_nervoso,t_olho,t_ouvido,t_cardiovascular,t_respiratorio,t_digestivo,t_pele,t_osteomuscular,t_genitourinario,t_malformacoes,t_causas_externas,t_influencia,t_comunicaveis,t_nao_comunicaveis,t_malaria,t_cancer_mama,t_cancer_colo_do_utero,t_srag,t_total
AC,2006,16398368.684747169,0.0,6198.0,416,584,40,344,74,0,2,1202,676,282,10,24,96,76,728,0,852,3076,14,0,0,0,8496
AC,2007,16398368.684747173,0.0,8549.0,390,640,62,360,72,0,0,1236,686,296,10,20,78,126,724,0,864,3230,10,0,0,0,8804
AC,2008,16398368.684747174,0.0,5699.0,370,662,32,384,98,0,2,1314,526,296,8,22,110,106,714,0,752,3228,18,0,0,0,8642
AC,2009,16398368.684747197,0.0,3511.0,314,680,30,346,120,0,4,1338,672,286,4,16,116,96,774,0,716,3324,12,0,2,0,8850
AC,2010,16398368.684747145,0.0,8661.0,376,662,36,372,100,0,0,1204,626,348,4,20,144,76,880,0,770,3284,4,0,0,0,8906
AC,2011,16398368.684747169,0.0,3191.0,336,764,32,466,86,0,0,1458,788,318,10,20,184,84,994,0,690,3794,4,0,0,0,10028
AC,2012,16398368.684747169,0.0,4720.0,358,944,44,428,116,0,0,1350,820,280,14,34,154,100,1058,0,772,3770,0,0,0,0,10242
AC,2013,16398368.6847471,0.0,4980.0,330,948,58,438,130,0,4,1430,850,296,12,22,192,108,1044,0,776,4024,10,0,0,0,10672
AC,2014,16398368.684747089,0.0,4398.0,386,1004,54,532,114,0,2,1536,988,326,6,24,176,122,1102,0,890,4344,2,0,0,0,11608
AC,2015,16398368.684747014,0.0,5779.0,358,1002,50,458,132,0,0,1716,938,310,24,28,154,136,1010,0,904,4404,4,0,0,0,11628
AC,2016,16398368.684746988,0.0,7684.0,414,1036,48,444,138,0,0,1688,1122,340,22,22,154,136,1324,0,900,4552,4,0,0,0,12344
AC,2017,16398368.684747051,0.0,6295.0,348,1154,52,488,124,0,0,1736,1002,350,24,44,140,96,1640,0,826,4762,4,0,0,0,12790
AC,2018,16398368.684747128,0.0,6626.0,404,1178,60,594,178,2,0,1848,1102,388,12,26,242,122,1386,0,1024,5102,0,0,2,0,13670
AC,2019,16398368.684747253,0.0,6802.0,404,1066,80,472,142,0,0,1912,1314,368,12,28,214,122,1242,0,998,5054,2,0,0,0,13430
AM,2006,165994754.65324414,9249.798595922744,11697.0,1400,3016,122,948,278,0,2,3840,1810,938,48,96,378,544,3264,0,2968,10844,28,0,0,0,30524
AM,2007,165994754.65324423,9217.736423797523,11293.0,1436,3446,126,1054,236,0,0,3932,1912,1132,72,78,424,546,3320,0,2936,11766,42,0,0,0,32458
AM,2008,165994754.65324423,9431.22274067986,6701.0,1492,3540,126,1274,354,0,4,4632,2098,1100,52,84,450,534,3878,0,3004,12902,24,4,0,0,35552
AM,2009,165994754.6532442,9631.776389703133,9280.0,1608,3626,112,1394,310,0,6,4394,2186,1076,70,132,490,552,3942,0,3238,13002,16,0,0,0,36154
