uf,ano,deforestation_soma,mining_soma,focos_ativos
AC,2006,16398368.684747167,0.0,6198.0
AC,2007,16398368.684747173,0.0,8549.0
AC,2008,16398368.684747174,0.0,5699.0
AC,2009,16398368.684747197,0.0,3511.0
AC,2010,16398368.684747145,0.0,8661.0
AC,2011,16398368.684747169,0.0,3191.0
AC,2012,16398368.684747167,0.0,4720.0
AC,2013,16398368.6847471,0.0,4980.0
AC,2014,16398368.684747089,0.0,4398.0
AC,2015,16398368.684747014,0.0,5779.0
AC,2016,16398368.684746988,0.0,7684.0
AC,2017,16398368.684747051,0.0,6295.0
AC,2018,16398368.684747128,0.0,6626.0
AC,2019,16398368.684747253,0.0,6802.0
AM,2006,165994754.65324414,9249.798595922743,11697.0
AM,2007,165994754.65324423,9217.736423797523,11293.0
AM,2008,165994754.65324423,9431.222740679861,6701.0
AM,2009,165994754.6532442,9631.776389703133,9280.0
AM,2010,165994754.6532443,9532.758740307545,12139.0
AM,2011,165994754.6532443,9722.350715978964,5028.0
AM,2012,165994754.65324432,9995.736030438093,9114.0
AM,2013,165994754.65324455,10224.965292169276,6512.0
AM,2014,165994754.65324453,10248.80108961192,9007.0
AM,2015,165994754.65324447,10621.485555609232,13419.0
AM,2016,165994754.65324444,10830.056287005691,11173.0
AM,2017,165994754.6532444,10848.594643090926,11685.0
AM,2018,165994754.6532445,11117.065755615315,11446.0
AM,2019,165994754.65324435,11057.490346112136,12676.0
AP,2006,22682082.46592787,3364.303358441156,1665.0
AP,2007,22682082.465927865,3864.5137852416947,1484.0
AP,2008,22682082.465927847,4235.750325286861,2153.0
AP,2009,22682082.465927854,4403.438897064199,2456.0
AP,2010,22682082.465927847,4565.233656439194,1000.0
AP,2011,22682082.46592779,4721.566891479493,1396.0
AP,2012,22682082.46592784,4931.793366998302,2518.0
AP,2013,22682082.465927824,5149.895995501692,1529.0
AP,2014,22682082.4659278,5413.025157519527,1848.0
AP,2015,22682082.465927828,5580.627203594978,2936.0
AP,2016,22682082.465927877,6052.20756032715,2595.0
AP,2017,22682082.46592788,6155.264073223874,1946.0
AP,2018,22682082.46592792,6320.357297637921,1206.0
AP,2019,22682082.46592786,6400.271874462885,1277.0
MA,2006,33507023.142932452,2797.548467785636,23302.0
MA,2007,34347137.52955765,2916.741229052726,44765.0
MA,2008,34347137.529557645,3030.784349652096,22122.0
MA,2009,34411939.94112488,3261.2105801696753,19132.0
MA,2010,34411939.94112486,3413.330291448972,36277.0
MA,2011,34411939.941124864,3467.8813149230973,19315.0
MA,2012,34411939.941124916,3657.093119146731,34299.0
MA,2013,34411939.94112491,3791.5018809875455,17455.0
MA,2014,34411939.94112487,4043.433422656241,24675.0
MA,2015,34411939.941124864,4054.5520384338342,28436.0
MA,2016,34411939.94112487,4252.969239367669,21789.0
MA,2017,34411939.941124834,4568.917973089603,25576.0
MA,2018,34411939.94112477,4703.781413409423,13892.0
